[0606/143112.883:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0606/143148.067:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0606/150341.974:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/180510.885:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/180709.977:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181444.160:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181449.175:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181454.200:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181459.219:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181504.252:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181509.284:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181514.312:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181519.324:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181524.356:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181529.370:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181534.387:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181539.406:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181544.427:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181549.444:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181554.464:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181559.497:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181604.510:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181609.538:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181614.566:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181619.594:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181624.615:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0606/181629.638:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
